Name,Given Name,Family Name,Group Membership,Phone 1 - Type,Phone 1 - Value
Operations Duty Manager,Operations Duty Manager,,,Mobile,+919141182174
Security Officer,Security Officer,,,Mobile,+918123497901
Empanelment Office,Empanelment Office,,,Mobile,+918123497934
Central Sterile Supply Department,Central Sterile Supply Department,,,Mobile,+918123492023
NABH,NABH,,,Mobile,+918123492401
OP Billing & Registration,OP Billing & Registration,,,Mobile,+918123498156
Housekeeping,Housekeeping,,,Mobile,+918123498275
Primary Health Check / Camp,Primary Health Check / Camp,,,Mobile,+918123498319
Emergency Dept In-Charge Nurse,Emergency Dept In-Charge Nurse,,,Mobile,+918123481536
Emergency Dept PRE,Emergency Dept PRE,,,Mobile,+918123481559
Intensive Care Unit In-Charge Nurse,Intensive Care Unit In-Charge Nurse,,,Mobile,+918123498031
AMC/TCU - HDU In-Charge Nurse,AMC/TCU - HDU In-Charge Nurse,,,Mobile,+918123492685
Labour Room In-Charge,Labour Room In-Charge,,,Mobile,+918123492741
Blood Bank In-Charge,Blood Bank In-Charge,,,Mobile,+918123492932
Nursing Supervisor On Duty,Nursing Supervisor On Duty,,,Mobile,+918123497823
Inpatient Billing HDU/ICU,Inpatient Billing HDU/ICU,,,Mobile,+918123497872
Emergency Dept Consultant,Emergency Dept Consultant,,,Mobile,+918123481427
Intensive Care Unit Consultant,Intensive Care Unit Consultant,,,Mobile,+918123498030
General Medicine Duty SR/AP,General Medicine Duty SR/AP,,,Mobile,+918123492069
General Surgery Duty SR/AP,General Surgery Duty SR/AP,,,Mobile,+918123492199
Pediatrics Duty SR/AP,Pediatrics Duty SR/AP,,,Mobile,+918123492304
Gynecology Duty SR/AP,Gynecology Duty SR/AP,,,Mobile,+918123492319
Anesthesia Duty SR/AP,Anesthesia Duty SR/AP,,,Mobile,+918123492420
ENT Duty SR/AP,ENT Duty SR/AP,,,Mobile,+918123492461
Ophthalmology Duty SR/AP,Ophthalmology Duty SR/AP,,,Mobile,+918123492559
Accounts,Accounts,,,Mobile,+919141182175
IT Department,IT Department,,,Mobile,+919141182176
Orthopedic Duty SR/AP,Orthopedic Duty SR/AP,,,Mobile,+918123492270
Radiology Duty SR/AP,Radiology Duty SR/AP,,,Mobile,+918123492632
Medical Record Department,Medical Record Department,,,Mobile,+918123498274
Super Specialty OPD,Super Specialty OPD,,,Mobile,+918123498285
Housekeeping Porter Service,Housekeeping Porter Service,,,Mobile,+918123498390
Secretary MS Office & Ops Office,Secretary MS Office & Ops Office,,,Mobile,+918123498392
Collection Centre In-Charge,Collection Centre In-Charge,,,Mobile,+918123492745
Oxygen Department,Oxygen Department,,,Mobile,+918123498599
Maintenance,Maintenance,,,Mobile,+919141182172
Electrical Department,Electrical Department,,,Mobile,+919141182171
Driver On Duty,Driver On Duty,,,Mobile,+919141182173
Bio-Medical Engineer,Bio-Medical Engineer,,,Mobile,+919141182177
Dietician,Dietician,,,Mobile,+919141182178
BTGH-Pharmacy,BTGH-Pharmacy,,,Mobile,+919141182179
Ambulance,Ambulance,,,Mobile,+919141182180
